date,season(季),sp_date(無放假的特殊節日),midd(大學期中考週),sallery(發薪日區間，每月5-10號),workingday(是否為工作日),days2vecation(距離下一個連假還剩幾天),week(星期，類別型),is_rest_day(是否為假日),vecation(是否為國定連假),is_event(是否為無放假的特殊節日),s_vecation(暑假),w_vecation(寒假),vecation_days(連假天數佔比，例如：四天連假第一天為1/4、第二天為2/4),Precp(降雨量),PrecpHour(降雨時數),SunShine(日照時數),Temperature(日均溫),weekdate(星期，數值型),西屯區平均房價
2017/1/1,1,N,0,0,0,0,SUN,1,1,0,0,0,0.5,0,0,9.6,20,7,
2017/1/2,1,N,0,0,0,0,MON,1,1,0,0,0,1,0,0,8.2,20.9,1,
2017/1/3,1,N,0,0,1,24,TUE,0,0,0,0,0,1,0,0,8.4,21.1,2,
2017/1/4,1,N,1,0,1,23,WED,0,0,0,0,0,1,0,0,4.2,21,3,
2017/1/5,1,N,1,1,1,22,THU,0,0,0,0,0,1,0,0,3.3,20.8,4,
2017/1/6,1,N,1,1,1,21,FRI,0,0,0,0,0,1,0,0,7.6,20.8,5,
2017/1/7,1,N,1,1,0,20,SAT,1,0,0,0,0,1,0,0,2.8,21.7,6,
2017/1/8,1,N,1,1,0,19,SUN,1,0,0,0,0,1,0,0,9.5,21.9,7,
2017/1/9,1,N,1,1,1,18,MON,0,0,0,0,0,1,0,0,9,19.9,1,
2017/1/10,1,N,1,1,1,17,TUE,0,0,0,0,0,1,0,0,8.1,19.1,2,
2017/1/11,1,N,1,0,1,16,WED,0,0,0,0,0,1,0,0,9,19.8,3,
2017/1/12,1,N,1,0,1,15,THU,0,0,0,0,0,1,0,0,4.7,20.2,4,
2017/1/13,1,N,1,0,1,14,FRI,0,0,0,0,0,1,0,0.7,0,18.2,5,
2017/1/14,1,N,0,0,0,13,SAT,1,0,0,0,0,1,3,8.3,1.8,15.7,6,
2017/1/15,1,N,0,0,0,12,SUN,1,0,0,0,0,1,0,2.3,0.1,15.9,7,
2017/1/16,1,N,0,0,1,11,MON,0,0,0,0,0,1,1,1.6,2.9,16.4,1,
2017/1/17,1,N,0,0,1,10,TUE,0,0,0,0,0,1,0,0,7.4,18.4,2,
2017/1/18,1,N,0,0,1,9,WED,0,0,0,0,0,1,0,0,8.6,19.7,3,
2017/1/19,1,N,0,0,1,8,THU,0,0,0,0,0,1,0,0,9.3,20.6,4,
2017/1/20,1,N,0,0,1,7,FRI,0,0,0,0,1,1,0,0,8.7,16.7,5,
2017/1/21,1,N,0,0,0,6,SAT,1,0,0,0,1,1,0,0,4,15.4,6,
2017/1/22,1,送神,0,0,0,5,SUN,1,0,1,0,1,1,0,0,9.1,16.6,7,
2017/1/23,1,N,0,0,1,4,MON,0,0,0,0,1,1,0,0,4.7,16.7,1,
2017/1/24,1,N,0,0,1,3,TUE,0,0,0,0,1,1,0,0,1.2,17.2,2,
2017/1/25,1,N,0,0,1,2,WED,0,0,0,0,1,1,0,0,3.7,16.8,3,
2017/1/26,1,N,0,0,1,1,THU,0,0,0,0,1,1,0,0,9.8,17.3,4,
2017/1/27,1,N,0,0,0,0,FRI,1,1,0,0,1,0.17,0,0,9.8,17.3,5,
2017/1/28,1,N,0,0,0,0,SAT,1,1,0,0,1,0.33,0,0,9.6,18.8,6,
2017/1/29,1,N,0,0,0,0,SUN,1,1,0,0,1,0.5,0,0,9.1,21.2,7,
2017/1/30,1,N,0,0,0,0,MON,1,1,0,0,1,0.67,0,0,7.7,20.7,1,
2017/1/31,1,N,0,0,0,0,TUE,1,1,0,0,1,0.83,0,0,5,18.5,2,
2017/2/1,1,N,0,0,0,0,WED,1,1,0,0,1,1,0,0.2,0.5,18.9,3,
2017/2/2,1,N,0,0,1,23,THU,0,0,0,0,1,1,0,0,3.8,17.8,4,
2017/2/3,1,N,0,0,1,22,FRI,0,0,0,0,1,1,0,0,6.3,18.9,5,
2017/2/4,1,N,0,0,0,21,SAT,1,0,0,0,1,1,0,0,0.8,19.6,6,
2017/2/5,1,天公生,0,1,0,20,SUN,1,0,1,0,1,1,0,0,1,19.7,7,
2017/2/6,1,N,0,1,1,19,MON,0,0,0,0,1,1,0,0,9.6,19.6,1,
2017/2/7,1,N,0,1,1,18,TUE,0,0,0,0,1,1,0,0,5.1,18.9,2,
2017/2/8,1,N,0,1,1,17,WED,0,0,0,0,1,1,0,0.6,4,18.6,3,
2017/2/9,1,N,0,1,1,16,THU,0,0,0,0,1,1,0,0,0,13.5,4,
2017/2/10,1,N,0,1,1,15,FRI,0,0,0,0,1,1,0,0,1.8,13.1,5,
2017/2/11,1,元宵節,0,0,0,14,SAT,1,0,1,0,1,1,0,0,2.8,14,6,
2017/2/12,1,N,0,0,0,13,SUN,1,0,0,0,1,1,0,0,2.4,15.7,7,
2017/2/13,1,N,0,0,1,12,MON,0,0,0,0,1,1,0,0,9.9,17.6,1,
2017/2/14,1,西洋情人節,0,0,1,11,TUE,0,0,1,0,1,1,0,0,9.4,18.2,2,
2017/2/15,1,N,0,0,1,10,WED,0,0,0,0,1,1,0,0,9.7,17.4,3,
2017/2/16,1,全國客家日,0,0,1,9,THU,0,0,1,0,1,1,0,0,9.6,18.8,4,
2017/2/17,1,N,0,0,1,8,FRI,0,0,0,0,1,1,0,0,9.6,20.3,5,
2017/2/18,1,N,0,0,0,7,SAT,1,0,0,0,1,1,0,0,9.8,19.8,6,
2017/2/19,1,N,0,0,0,6,SUN,1,0,0,0,1,1,0,0.3,9.7,19.9,7,
2017/2/20,1,N,0,0,1,5,MON,0,0,0,0,1,1,1.9,0.8,7,22.7,1,
2017/2/21,1,N,0,0,1,4,TUE,0,0,0,0,0,1,0,0,8.5,22.1,2,
2017/2/22,1,N,0,0,1,3,WED,0,0,0,0,0,1,8,5.1,1,20.8,3,
2017/2/23,1,N,0,0,1,2,THU,0,0,0,0,0,1,0,0,3.4,19.7,4,
2017/2/24,1,N,0,0,1,1,FRI,0,0,0,0,0,1,2.4,4.5,0,13.9,5,
2017/2/25,1,N,0,0,0,0,SAT,1,1,0,0,0,0.25,1,3.1,0,14.4,6,
