date,hotel_11_canceled,hotel_18_canceled,hotel_57_canceled,hotel_65_canceled,hotel_72_canceled,hotel_86_canceled,hotel_94_canceled,hotel_99_canceled,hotel_108_canceled,hotel_126_canceled,hotel_134_canceled,hotel_146_canceled,hotel_147_canceled,hotel_284_canceled,hotel_294_canceled,hotel_295_canceled,hotel_342_canceled
2018/12/4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/5,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/6,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/10,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/11,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/12,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/13,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/14,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/15,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/16,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/17,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/18,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/19,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/20,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/21,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/22,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/23,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/24,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/25,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/12/26,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
